"Assignment Name","Assignment Code",Description,"Applicable for Process","Business Unit","Employee Type","Employee Sub Type","Parent Company",Department,"Designation Name",Grade,Band,"Pay Scale","Office Location",Division,"Contribution Level","Employee Group","Notice Period from Employee","Appraisal Period","Location Type","Location Region","Job Family","Functional Area(Not Applicable)","Project Allocated",Gender,Nationality,"Marital Status",Timezone,"Employee Status","Current Address Country","Permanent Address Country","Designation Role Category",Salutation,"Blood Group","Designation Title(Not Applicable)",Capability,"Current Address State","Current Address City","Permanent Address State","Permanent Address City","Company Country","Pay Group","PF Applicability","PF Restriction","ESIC Applicable","LWF Applicable","EPS Applicability","PT Applicability","TDS Applicability","On Probation","On Notice","Manager Level","Is HOD","Is HRBP","Is Standard Role 1","Is Standard Role 2","Is Standard Role 3","Designation Exempt Status","Rotational Shift - Biographical","Sub Community Details - Biographical","Emergency Contact Relation - Emergency","Second Emergency Contact Relation - Emergency","Employee Group - Employment","Client Office Location - Employment","Performance Appraisal Month - Employment","Contract Status - Employment","Work Type - Employment","Experience From DOJ Condition","Experience From DOJ Date Range 1","Experience From DOJ Date Range 2","Experience From Group DOJ Condition","Experience From Group DOJ Date Range 1","Experience From Group DOJ Date Range 2","Age Condition","Age Date Range 1","Age Date Range 2","Experience in Current Role Condition","Experience in Current Role Date Range 1","Experience in Current Role Date Range 2","Experience in Company Condition","Experience in Company Date Range 1","Experience in Company Date Range 2","Included Employees","Exclude - Business Unit","Exclude - Employee Type","Exclude - Employee Sub Type","Exclude - Parent Company","Exclude - Department","Exclude - Designation Name","Exclude - Grade","Exclude - Band","Exclude - Pay Scale","Exclude - Office Location","Exclude - Division","Exclude - Contribution Level","Exclude - Employee Group","Exclude - Notice Period from Employee","Exclude - Appraisal Period","Exclude - Location Type","Exclude - Location Region","Exclude - Job Family","Exclude - Functional Area(Not Applicable)","Exclude - Project Allocated","Exclude - Gender","Exclude - Nationality","Exclude - Marital Status","Exclude - Timezone","Exclude - Employee Status","Exclude - Current Address Country","Exclude - Permanent Address Country","Exclude - Designation Role Category","Exclude - Salutation","Exclude - Blood Group","Exclude - Designation Title(Not Applicable)","Exclude - Capability","Exclude - Current Address State","Exclude - Current Address City","Exclude - Permanent Address State","Exclude - Permanent Address City","Exclude - Company Country","Exclude - Pay Group","Exclude - PF Applicability","Exclude - PF Restriction","Exclude - ESIC Applicable","Exclude - LWF Applicable","Exclude - EPS Applicability","Exclude - PT Applicability","Exclude - TDS Applicability","Exclude - On Probation","Exclude - On Notice","Exclude - Manager Level","Exclude - Is HOD","Exclude - Is HRBP","Exclude - Is Standard Role 1","Exclude - Is Standard Role 2","Exclude - Is Standard Role 3","Exclude - Designation Exempt Status","Exclude - Rotational Shift - Biographical","Exclude - Sub Community Details - Biographical","Exclude - Emergency Contact Relation - Emergency","Exclude - Second Emergency Contact Relation - Emergency","Exclude - Employee Group - Employment","Exclude - Client Office Location - Employment","Exclude - Performance Appraisal Month - Employment","Exclude - Contract Status - Employment","Exclude - Work Type - Employment","Exclude - Experience From DOJ Condition","Exclude - Experience From DOJ Date Range 1","Exclude - Experience From DOJ Date Range 2","Exclude - Experience From Group DOJ Condition","Exclude - Experience From Group DOJ Date Range 1","Exclude - Experience From Group DOJ Date Range 2","Exclude - Age Condition","Exclude - Age Date Range 1","Exclude - Age Date Range 2","Exclude - Experience in Current Role Condition","Exclude - Experience in Current Role Date Range 1","Exclude - Experience in Current Role Date Range 2","Exclude - Experience in Company Condition","Exclude - Experience in Company Date Range 1","Exclude - Experience in Company Date Range 2","Excluded Employees"
"Requisition permission1 for [REDACTED]",,,Default,,,,,"Business Development (IWSPL.BD),Inside Sales (IWSPL.BD.IS),Design (IWSPL.DG),UI/UX (IWSPL.DG.UI/UX),UX (IWSPL.DG.UX),Development (IWSPL.DEV),Back End (IWSPL.DEV.BE),Front End (IWSPL.DEV.FE),Digital (IWSPL.D),Content (IWSPL.D.C),Marketing (IWSPL.D.MKT),Operations (IWSPL.D.O),SEO (IWSPL.D.SEO),CEO (PSI.C),Adminstration (PSI.A),Bengaluru Admin (PSI.A.BA),Hyderabad Admin (PSI.A.HA),Co Founder-EVP (PSI.BD.CFEVP),Company Director (PSI.C.CD),Database Support (PSI.C.DS),Application Support (PSI.C.DS.AS),Digital (PSI.D),Content (PSI.D.C),Marketing (PSI.D.MKT),SEO (PSI.D.SEO),UX (PSI.D.UX),IT (PSI.IT),Networking and Hardware Support (PSI.IT.NAHS),Networking and Support (PSI.IT.NAS),Legal (PSI.C.L),Operations (PSI.O),Operations Center Head- Mumbai  (PSI.O.OCHM),Sales (PSI.O.S),Product Management (PSI.PRDM),Business Analysis (PSI.PRDM.BA),Program Manager (PSI.C.PM),Project Management (PSI.C.PJM),Director Technology and Services (PSI.C.PJM.DTS),Project Manager (PSI.C.PJM.PM),Senior Director HR (PSI.C.SDHR),Human Resources (PSI.HR),HR (PSI.HR.HR),Talent Acquisition (PSI.HR.TA),Training and Development (PSI.TAD),VP (PSI.VP.SALES),Business Development (PSI.BD),Inside Sales (PSI.BD.IS),Marketing (PSI.BD.MKT),Sales (PSI.BD.S),VP Development (PSI.VP.DEV),Creative Designer (PSI.D.UX.),Design (PSI.DG),UI/UX (PSI.DG.UI/UX),UX (PSI.DG.UX),Development (PSI.DEV),Back End (PSI.DEV.BE),DBA (PSI.DEV.DBA),Front End (PSI.DEV.FE),Full Stack (PSI.DEV.FS),Mobile (PSI.DEV.MOB),Mobile Android (PSI.DEV.MA),Mobile IOS (PSI.DEV.MIOS),Networking and Telecom (PSI.DEV.NAT),Quality (PSI.DEV.Q),Audit (PSI.DEV.Q.A),VP QA & Devops (PSI.VP.QA&DO),DevOps and Support (PSI.DAS),Application and Infra Support (PSI.DAS.AAIS),Core DevOps (PSI.DAS.CDO),FinOps (PSI.DAS.FO),Quality Assurance (PSI.QA),Application Support (PSI.QA.AS),VOIP Support (PSI.QA.AS.VOIPS),Automation (PSI.QA.ATT),Automation Testing (PSI.QA.AT),Manual Testing (PSI.QA.MT),Mobile Testing (PSI.QA.MOBT),Networking and Telecom (PSI.QA.NAT),CEO (TPL.C),Adminstration (TPL.A),Admin (TPL.AD.AD),Mumbai Admin (TPL.A.MAD),Business Development (TPL.BD),Database Support (TPL.DS),Application Support (TPL.DS.AS),Support (TPL.DS.SUPP),DevOps and Support (TPL.DAS),Core DevOps (TPL.DAS.CDO),Development (TPL.DEV),Back End (TPL.DEV.BE),DBA (TPL.DEV.DBA),Front end (TPL.DEV.FE),Full Stack (TPL.DEV.FS),Digital (TPL.D),Marketing (TPL.D.MKT),Executive Lead Generation (TPL.BD.IS),Finance (TPL.F),Accounts (TPL.F.ACC),IT (TPL.IT),Networking and Hardware Support (TPL.IT.NAHS),Lead Mobility (TPL.DEV.MOB),Manager Business Development (TPL.BD.SS),Operations (TPL.O),Sales (TPL.BD.S),Operations Head (TPL.OH),Project Coordinator (TPL.PC),Coordinator (TPL.PC.CD),Project Management (TPL.PM),Business Analysis (TPL.PM.BA),Project Manager (TPL.PM.PMO),Quality Assurance (TPL.QA),Automation Testing (TPL.QA.AT),Manual Testing (TPL.QA.MT),Support Office (TPL.A.OB),Documentation (PSI.PRDM.D),ERP (IWSPL.DEV.ERP)",,,,,,,"Senior Lead (SL),Associate (A),Intern (I),Manager (M),Lead (L),Individual Contributor (IC)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mumbai All",,,Default,,,,,,,,,,"Malad Mindspace Mumbai  (PSI.ETMI),Malad Mindspace Mumbai  (TPL.ETMI)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hyderabad All",,,Default,,,,,,,,,,"Prestige Sky Tech Hyderabad  (PSI.PST.Hyd)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bengaluru All",,,Default,,,,,,,,,,"Brigade Peenya Bengaluru  (IWSPL.BBK),Brigade Peenya Bengaluru  (PSI.BBK),Metropolis- Whitefield Bengaluru  (PSI.WFBK),Brigade Peenya Bengaluru  (TPL.BBK),Metropolis- Whitefield Bengaluru  (TPL.WFBK)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Recruiter View Access",,,Default,,,,,"Digital (PSI.D),Content (PSI.D.C),Marketing (PSI.D.MKT),SEO (PSI.D.SEO),UX (PSI.D.UX),IT (PSI.IT),Networking and Hardware Support (PSI.IT.NAHS),Networking and Support (PSI.IT.NAS),Product Management (PSI.PRDM),Business Analysis (PSI.PRDM.BA),Business Development (PSI.BD),Inside Sales (PSI.BD.IS),Marketing (PSI.BD.MKT),Sales (PSI.BD.S),Design (PSI.DG),UI/UX (PSI.DG.UI/UX),UX (PSI.DG.UX),Development (PSI.DEV),Back End (PSI.DEV.BE),DBA (PSI.DEV.DBA),Front End (PSI.DEV.FE),Full Stack (PSI.DEV.FS),Mobile (PSI.DEV.MOB),Mobile Android (PSI.DEV.MA),Mobile IOS (PSI.DEV.MIOS),Networking and Telecom (PSI.DEV.NAT),Quality (PSI.DEV.Q),Audit (PSI.DEV.Q.A),DevOps and Support (PSI.DAS),Application and Infra Support (PSI.DAS.AAIS),Core DevOps (PSI.DAS.CDO),FinOps (PSI.DAS.FO),Quality Assurance (PSI.QA),Application Support (PSI.QA.AS),VOIP Support (PSI.QA.AS.VOIPS),Automation (PSI.QA.ATT),Automation Testing (PSI.QA.AT),Manual Testing (PSI.QA.MT),Mobile Testing (PSI.QA.MOBT),Networking and Telecom (PSI.QA.NAT),Documentation (PSI.PRDM.D),ERP (IWSPL.DEV.ERP)",,,,,,,"Senior Lead (SL),Associate (A),Intern (I),Manager (M),Lead (L),Individual Contributor (IC)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[REDACTED] Recruitment Permission",,,Default,,,,,"Business Development (IWSPL.BD),Inside Sales (IWSPL.BD.IS),Design (IWSPL.DG),UI/UX (IWSPL.DG.UI/UX),UX (IWSPL.DG.UX),Development (IWSPL.DEV),Back End (IWSPL.DEV.BE),Front End (IWSPL.DEV.FE),Digital (IWSPL.D),Content (IWSPL.D.C),Marketing (IWSPL.D.MKT),Operations (IWSPL.D.O),SEO (IWSPL.D.SEO),Adminstration (PSI.A),Bengaluru Admin (PSI.A.BA),Hyderabad Admin (PSI.A.HA),Database Support (PSI.C.DS),Application Support (PSI.C.DS.AS),Digital (PSI.D),Content (PSI.D.C),Marketing (PSI.D.MKT),SEO (PSI.D.SEO),UX (PSI.D.UX),IT (PSI.IT),Networking and Hardware Support (PSI.IT.NAHS),Networking and Support (PSI.IT.NAS),Product Management (PSI.PRDM),Business Analysis (PSI.PRDM.BA),Documentation (PSI.PRDM.D),Program Manager (PSI.C.PM),Project Management (PSI.C.PJM),Project Manager (PSI.C.PJM.PM),Business Development (PSI.BD),Inside Sales (PSI.BD.IS),Marketing (PSI.BD.MKT),Sales (PSI.BD.S),Creative Designer (PSI.D.UX.),Design (PSI.DG),UI/UX (PSI.DG.UI/UX),UX (PSI.DG.UX),Development (PSI.DEV),Back End (PSI.DEV.BE),DBA (PSI.DEV.DBA),Front End (PSI.DEV.FE),Full Stack (PSI.DEV.FS),Mobile (PSI.DEV.MOB),Mobile Android (PSI.DEV.MA),Mobile IOS (PSI.DEV.MIOS),Networking and Telecom (PSI.DEV.NAT),Quality (PSI.DEV.Q),Audit (PSI.DEV.Q.A),DevOps and Support (PSI.DAS),Application and Infra Support (PSI.DAS.AAIS),Core DevOps (PSI.DAS.CDO),FinOps (PSI.DAS.FO),Quality Assurance (PSI.QA),Application Support (PSI.QA.AS),VOIP Support (PSI.QA.AS.VOIPS),Automation (PSI.QA.ATT),Automation Testing (PSI.QA.AT),Manual Testing (PSI.QA.MT),Mobile Testing (PSI.QA.MOBT),Networking and Telecom (PSI.QA.NAT),Adminstration (TPL.A),Admin (TPL.AD.AD),Mumbai Admin (TPL.A.MAD),Business Development (TPL.BD),Database Support (TPL.DS),Application Support (TPL.DS.AS),Support (TPL.DS.SUPP),DevOps and Support (TPL.DAS),Core DevOps (TPL.DAS.CDO),Development (TPL.DEV),Back End (TPL.DEV.BE),DBA (TPL.DEV.DBA),Front end (TPL.DEV.FE),Full Stack (TPL.DEV.FS),Digital (TPL.D),Marketing (TPL.D.MKT),Executive Lead Generation (TPL.BD.IS),IT (TPL.IT),Networking and Hardware Support (TPL.IT.NAHS),Lead Mobility (TPL.DEV.MOB),Manager Business Development (TPL.BD.SS),Project Coordinator (TPL.PC),Coordinator (TPL.PC.CD),Project Management (TPL.PM),Business Analysis (TPL.PM.BA),Project Manager (TPL.PM.PMO),Quality Assurance (TPL.QA),Automation Testing (TPL.QA.AT),Manual Testing (TPL.QA.MT),Support Office (TPL.A.OB),ERP (IWSPL.DEV.ERP)",,,,,,,"Associate (A),Intern (I),Lead (L),Individual Contributor (IC)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Compensation View [REDACTED]",,,Default,,,,,"Design (IWSPL.DG),UI/UX (IWSPL.DG.UI/UX),UX (IWSPL.DG.UX),Development (IWSPL.DEV),Back End (IWSPL.DEV.BE),Front End (IWSPL.DEV.FE),CEO (TPL.C),Database Support (TPL.DS),Application Support (TPL.DS.AS),Support (TPL.DS.SUPP),DevOps and Support (TPL.DAS),Core DevOps (TPL.DAS.CDO),Development (TPL.DEV),Back End (TPL.DEV.BE),DBA (TPL.DEV.DBA),Front end (TPL.DEV.FE),Full Stack (TPL.DEV.FS),Digital (TPL.D),Marketing (TPL.D.MKT),Executive Lead Generation (TPL.BD.IS),Finance (TPL.F),Accounts (TPL.F.ACC),Lead Mobility (TPL.DEV.MOB),Project Coordinator (TPL.PC),Coordinator (TPL.PC.CD),Project Management (TPL.PM),Business Analysis (TPL.PM.BA),Project Manager (TPL.PM.PMO),Quality Assurance (TPL.QA),Automation Testing (TPL.QA.AT),Manual Testing (TPL.QA.MT),Support Office (TPL.A.OB)",,,,,,,"Associate (A),Intern (I),Manager (M),Lead (L),Individual Contributor (IC)","Staffing (Staffing)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[REDACTED] recruitment permission",,,Default,,,,,"Business Development (IWSPL.BD),Inside Sales (IWSPL.BD.IS),Design (IWSPL.DG),UI/UX (IWSPL.DG.UI/UX),UX (IWSPL.DG.UX),Development (IWSPL.DEV),Back End (IWSPL.DEV.BE),Front End (IWSPL.DEV.FE),Digital (IWSPL.D),Content (IWSPL.D.C),Marketing (IWSPL.D.MKT),Operations (IWSPL.D.O),SEO (IWSPL.D.SEO),Database Support (PSI.C.DS),Application Support (PSI.C.DS.AS),Digital (PSI.D),Content (PSI.D.C),Marketing (PSI.D.MKT),SEO (PSI.D.SEO),UX (PSI.D.UX),Creative Designer (PSI.D.UX.),Design (PSI.DG),UI/UX (PSI.DG.UI/UX),UX (PSI.DG.UX),Development (PSI.DEV),Back End (PSI.DEV.BE),DBA (PSI.DEV.DBA),ERP (IWSPL.DEV.ERP),Front End (PSI.DEV.FE),Full Stack (PSI.DEV.FS),Mobile (PSI.DEV.MOB),Mobile Android (PSI.DEV.MA),Mobile IOS (PSI.DEV.MIOS),Networking and Telecom (PSI.DEV.NAT),Quality (PSI.DEV.Q),Audit (PSI.DEV.Q.A),DevOps and Support (PSI.DAS),Application and Infra Support (PSI.DAS.AAIS),Core DevOps (PSI.DAS.CDO),FinOps (PSI.DAS.FO),Quality Assurance (PSI.QA),Application Support (PSI.QA.AS),VOIP Support (PSI.QA.AS.VOIPS),Automation (PSI.QA.ATT),Automation Testing (PSI.QA.AT),Manual Testing (PSI.QA.MT),Mobile Testing (PSI.QA.MOBT),Networking and Telecom (PSI.QA.NAT),CEO (TPL.C),Adminstration (TPL.A),Admin (TPL.AD.AD),Mumbai Admin (TPL.A.MAD),Business Development (TPL.BD),Database Support (TPL.DS),Application Support (TPL.DS.AS),Support (TPL.DS.SUPP),DevOps and Support (TPL.DAS),Core DevOps (TPL.DAS.CDO),Development (TPL.DEV),Back End (TPL.DEV.BE),DBA (TPL.DEV.DBA),Front end (TPL.DEV.FE),Full Stack (TPL.DEV.FS),Digital (TPL.D),Marketing (TPL.D.MKT),Executive Lead Generation (TPL.BD.IS),IT (TPL.IT),Networking and Hardware Support (TPL.IT.NAHS),Lead Mobility (TPL.DEV.MOB),Manager Business Development (TPL.BD.SS),Operations (TPL.O),Sales (TPL.BD.S),Operations Head (TPL.OH),Project Coordinator (TPL.PC),Coordinator (TPL.PC.CD),Project Management (TPL.PM),Business Analysis (TPL.PM.BA),Project Manager (TPL.PM.PMO),Quality Assurance (TPL.QA),Automation Testing (TPL.QA.AT),Manual Testing (TPL.QA.MT),Support Office (TPL.A.OB)",,,,,,,"Associate (A),Intern (I),Lead (L),Individual Contributor (IC)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[REDACTED] PMS Permission",,,Default,,,,,"Design (IWSPL.DG),UI/UX (IWSPL.DG.UI/UX),UX (IWSPL.DG.UX),Development (IWSPL.DEV),Back End (IWSPL.DEV.BE),Front End (IWSPL.DEV.FE),Digital (IWSPL.D),Content (IWSPL.D.C),SEO (IWSPL.D.SEO),Creative Designer (PSI.D.UX.),Design (PSI.DG),UI/UX (PSI.DG.UI/UX),UX (PSI.DG.UX),Development (PSI.DEV),Back End (PSI.DEV.BE),DBA (PSI.DEV.DBA),ERP (IWSPL.DEV.ERP),Front End (PSI.DEV.FE),Full Stack (PSI.DEV.FS),Mobile (PSI.DEV.MOB),Mobile Android (PSI.DEV.MA),Mobile IOS (PSI.DEV.MIOS),Networking and Telecom (PSI.DEV.NAT),Quality (PSI.DEV.Q),Audit (PSI.DEV.Q.A),DevOps and Support (PSI.DAS),Application and Infra Support (PSI.DAS.AAIS),Core DevOps (PSI.DAS.CDO),FinOps (PSI.DAS.FO),Quality Assurance (PSI.QA),Application Support (PSI.QA.AS),VOIP Support (PSI.QA.AS.VOIPS),Automation (PSI.QA.ATT),Automation Testing (PSI.QA.AT),Manual Testing (PSI.QA.MT),Mobile Testing (PSI.QA.MOBT),Networking and Telecom (PSI.QA.NAT),CEO (TPL.C),Database Support (TPL.DS),Application Support (TPL.DS.AS),Support (TPL.DS.SUPP),DevOps and Support (TPL.DAS),Core DevOps (TPL.DAS.CDO),Development (TPL.DEV),Back End (TPL.DEV.BE),DBA (TPL.DEV.DBA),Front end (TPL.DEV.FE),Full Stack (TPL.DEV.FS),Digital (TPL.D),Marketing (TPL.D.MKT),Executive Lead Generation (TPL.BD.IS),Lead Mobility (TPL.DEV.MOB),Manager Business Development (TPL.BD.SS),Project Coordinator (TPL.PC),Coordinator (TPL.PC.CD),Quality Assurance (TPL.QA),Automation Testing (TPL.QA.AT),Manual Testing (TPL.QA.MT)",,,,,,,"Associate (A),Intern (I),Individual Contributor (IC)","Staffing (Staffing),Unassigned (Unassigned),ODC (ODC)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Individual Contributor & Associate",UAS_47,,Default,,,,,,,,,,,,"Associate (A),Individual Contributor (IC)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aditya Birla",UAS_48,,Default,,,,,,,,,,"Brigade Peenya Bengaluru  (IWSPL.BBK),Brigade Peenya Bengaluru  (PSI.BBK),Brigade Peenya Bengaluru  (TPL.BBK),Malad Mindspace Mumbai  (PSI.ETMI),Malad Mindspace Mumbai  (TPL.ETMI),Metropolis- Whitefield Bengaluru  (PSI.WFBK),Metropolis- Whitefield Bengaluru  (TPL.WFBK),Prestige Sky Tech Hyderabad  (PSI.PST.Hyd)",,,,,,,,,,"Aditya Birla",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[REDACTED] Permission",UAS_49,,Default,,,,,"Product Management (PSI.PRDM),Business Analysis (PSI.PRDM.BA),Documentation (PSI.PRDM.D),Project Management (PSI.C.PJM),Director Technology and Services (PSI.C.PJM.DTS),Project Manager (PSI.C.PJM.PM),VP (PSI.VP.SALES),Business Development (PSI.BD),Inside Sales (PSI.BD.IS),Marketing (PSI.BD.MKT),Sales (PSI.BD.S),Development (PSI.DEV),Back End (PSI.DEV.BE),DBA (PSI.DEV.DBA),Front End (PSI.DEV.FE),Full Stack (PSI.DEV.FS),Mobile (PSI.DEV.MOB),Mobile Android (PSI.DEV.MA),Mobile IOS (PSI.DEV.MIOS),Networking and Telecom (PSI.DEV.NAT),Quality (PSI.DEV.Q),Audit (PSI.DEV.Q.A),Business Development (TPL.BD),Development (TPL.DEV),Back End (TPL.DEV.BE),DBA (TPL.DEV.DBA),Front end (TPL.DEV.FE),Full Stack (TPL.DEV.FS),Project Management (TPL.PM),Business Analysis (TPL.PM.BA),Project Manager (TPL.PM.PMO),ERP (IWSPL.DEV.ERP)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[REDACTED] Permission",UAS_50,,Default,,,,,"Networking and Telecom (PSI.DEV.NAT),VP QA & Devops (PSI.VP.QA&DO),DevOps and Support (PSI.DAS),Application and Infra Support (PSI.DAS.AAIS),Core DevOps (PSI.DAS.CDO),FinOps (PSI.DAS.FO),Quality Assurance (PSI.QA),Application Support (PSI.QA.AS),VOIP Support (PSI.QA.AS.VOIPS),Automation (PSI.QA.ATT),Automation Testing (PSI.QA.AT),Manual Testing (PSI.QA.MT),Mobile Testing (PSI.QA.MOBT),Networking and Telecom (PSI.QA.NAT),Quality Assurance (TPL.QA),Automation Testing (TPL.QA.AT),Manual Testing (TPL.QA.MT)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[REDACTED] Department",UAS_51,,Default,,,,,"Back End (PSI.DEV.BE)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[REDACTED] Department",UAS_52,,Default,,,,,"Automation (PSI.QA.ATT)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[REDACTED] Department",UAS_53,,Default,,,,,"Program Manager (PSI.C.PM)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[REDACTED] Department",UAS_54,,Default,,,,,"Program Manager (PSI.C.PM)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HR department",UAS_55,,Default,,,,,"Senior Director HR (PSI.C.SDHR),Human Resources (PSI.HR),Core HR (PSI.HR.CHR),HR (PSI.HR.HR),Talent Acquisition (PSI.HR.TA),Training and Development (PSI.TAD),Human Resources (TPL.HR),Core HR (TPL.HR.CHR),Core HR and PMO (TPL.HR.CHAP),Talent Acquisition (TPL.HR.TA),Talent Acquisition and PMO (TPL.HR.TAAP)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Invoicemart,UAS_56,,Default,,,,,,,,,,"Brigade Peenya Bengaluru  (IWSPL.BBK),Brigade Peenya Bengaluru  (PSI.BBK),Brigade Peenya Bengaluru  (TPL.BBK),Malad Mindspace Mumbai  (PSI.ETMI),Malad Mindspace Mumbai  (TPL.ETMI),Metropolis- Whitefield Bengaluru  (PSI.WFBK),Metropolis- Whitefield Bengaluru  (TPL.WFBK),Prestige Sky Tech Hyderabad  (PSI.PST.Hyd)",,,,,,,,,,"Invoice Mart",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
