"Code","Row ID","Approval Stage Name","Approvers","Approver's Job Level","Approver's Grade","Action","Alloted Time","Visibility Roles","Skip Settings","SLA Settings","Confidential Roles","Re-Route Approval Flow","Approver Context","Assignment Basis","Replace Approve and Reject buttons with submit button","Trigger this stage even if previous stage is rejected","Allow Send Back","Select Employee","Use Decision Matrix","Decision Matrix","Approve Button Alias","Reject Button Alias","Save as Draft Button Alias","Reroute Button Alias","Send Back Button Alias","Delegate Button Alias","View Details Button Alias","Submit Button Alias","Cancel Button Alias","Approver/Assignee Is Assigned - Email","Approver/Assignee Is Assigned - Default Recipients","Approver/Assignee Is Assigned - Additional Recipients","Approver/Assignee Is Assigned - CC Users","Approver/Assignee Is Assigned - CC Roles","Approvers Approve - Email","Approvers Approve - Default Recipients","Approvers Approve - Additional Recipients","Approvers Approve - CC Users","Approvers Approve - CC Roles","Approvers Reject - Email","Approvers Reject - Default Recipients","Approvers Reject - Additional Recipients","Approvers Reject - CC Users","Approvers Reject - CC Roles","Due Date Is Completed - Email","Due Date Is Completed - Default Recipients","Due Date Is Completed - Additional Recipients","Due Date Is Completed - CC Users","Due Date Is Completed - CC Roles","Approval Step Is Skipped - Email","Approval Step Is Skipped - Default Recipients","Approval Step Is Skipped - Additional Recipients","Approval Step Is Skipped - CC Users","Approval Step Is Skipped - CC Roles","Sent Back To Approval Stage And Sent Back Task Is Triggered - Email","Sent Back To Approval Stage And Sent Back Task Is Triggered - Default Recipients","Sent Back To Approval Stage And Sent Back Task Is Triggered - Additional Recipients","Sent Back To Initiator Stage And Sent Back Task Is Triggered - Email","Sent Back To Initiator Stage And Sent Back Task Is Triggered - Default Recipients","Sent Back To Initiator Stage And Sent Back Task Is Triggered - Additional Recipients","Sent Back From This Stage And Sent Back Task Is Completed - Email","Sent Back From This Stage And Sent Back Task Is Completed - Default Recipients","Sent Back From This Stage And Sent Back Task Is Completed - Additional Recipients","Other Stages Retriggered As Part Of This Send Back - Email","Other Stages Retriggered As Part Of This Send Back - Default Recipients","Other Stages Retriggered As Part Of This Send Back - Additional Recipients","Status"
"AF_34","R1","Manager Approval","Manager","","","","15","","","","","","Subject","Source","","","","","","","","","","","","","","","","","","","","","","","Self|Employee direct HRBP","","","","","Self|Admin|Employee direct HRBP","","","","","","","","","","","","","","","","","","","","","","","","","Inactive"
"AF_35","R1","HRBP","Employee direct HRBP","","","","15","","","","","","Subject","Source","","","","","","","","","","","","","","","","","","","","","","","Self|Manager","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Active"
"AF_36","R1","CEO","CEO","","","","15","","","","","","Subject","Source","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Active"
"AF_37","","HRBP","Employee direct HRBP","","","","15","","","","","","Subject","Source","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Draft"
"AF_37","R1","HRBP","Employee direct HRBP","","","","15","","","","","","Subject","Source","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Active"
"AF_38","","Approval Stage 1","HOD","","","","15","","","","","","Subject","Source","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Inactive"
"AF_39","R1","Approval Stage 1","Manager","","","","15","","","","","","Subject","Source","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Active"
"AF_40","","Stage 1","HOD","","","","15","","","","","","Subject","Source","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Inactive"
"AF_41","R1","Stage 1","HOD|CEO|Vice President","","","","15","","","","","","Subject","Source","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Active"
"AF_42","","Stage 1a","","","","","15","","","","","","Subject","Source","","","","","","","","","","","","","","","","","","Self|Manager|HOD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Inactive"
