"Designation Name","Designation Code",Status,"Created On","Created By","Updated On","Updated By","Effective From"
"Junior Software Engineer",DE_55,Active,"05-07-2023 03:10:21",,,,
"Junior System Admin",DE_56,Active,"05-07-2023 03:10:21",,,,
"Lead Cisco Voice",DE_57,Active,"05-07-2023 03:10:22",,,,
"Lead Data Solutions",DE_58,Active,"05-07-2023 03:10:22",,,,
"Lead Digital Marketing",DE_59,Active,"05-07-2023 03:10:23",,,,
"Lead Engineer",DE_60,Active,"05-07-2023 03:10:23",,,,
"Lead HR",DE_61,Active,"05-07-2023 03:10:24",,,,
"Lead Mobility",DE_62,Active,"05-07-2023 03:10:24",,,,
"Lead Presales",DE_63,Active,"05-07-2023 03:10:25",,,,
"Lead Product",DE_64,Active,"05-07-2023 03:10:25",,,,
"Lead Projects",DE_65,Active,"05-07-2023 03:10:26",,,,
"Lead QA",DE_66,Active,"05-07-2023 03:10:26",,,,
"Lead Quality Initiatives",DE_67,Active,"05-07-2023 03:10:27",,,,
"Lead Talent Acquisition",DE_68,Active,"05-07-2023 03:10:28",,,,
"Lead Technology & Presales",DE_69,Active,"05-07-2023 03:10:28",,,,
"Lead UI UX",DE_71,Active,"05-07-2023 03:10:29",,,,
"Manager Business Development",DE_72,Active,"05-07-2023 03:10:30",,,,
"Manager Operations",DE_73,Active,"05-07-2023 03:10:30",,,,
"Manager Product",DE_74,Active,"05-07-2023 03:10:31",,,,
"Manager Product BA",DE_75,Active,"05-07-2023 03:10:31",,,,
"Manager Projects",DE_76,Active,"05-07-2023 03:10:32",,,,
"Manager Quality Assurance",DE_77,Active,"05-07-2023 03:10:32",,,,
"Manager Service Delivery",DE_78,Active,"05-07-2023 03:10:33",,,,
"Manager Talent Aquistion & presales",DE_79,Active,"05-07-2023 03:10:34",,,,
"Manager Technology AWS",DE_80,Active,"05-07-2023 03:10:34",,,,
"Marketing Associate",DE_81,Active,"05-07-2023 03:10:35",,,,
"Marketing Executive",DE_82,Active,"05-07-2023 03:10:35",,,,
"Network Admin",DE_83,Active,"05-07-2023 03:10:36",,,,
"NOC Engineer",DE_84,Active,"05-07-2023 03:10:36",,,,
"Practice Lead",DE_85,Active,"05-07-2023 03:10:37",,,,
"Principal Consultant",DE_86,Active,"05-07-2023 03:10:37",,,,
"Product Management",DE_87,Active,"05-07-2023 03:10:38",,,,
"Product Manager",DE_88,Active,"05-07-2023 03:10:38",,,,
"Program Manager",DE_89,Active,"05-07-2023 03:10:39",,,,
"Project Co-ordinator",DE_90,Active,"05-07-2023 03:10:39",,,,
"Project Lead",DE_91,Active,"05-07-2023 03:10:40",,,,
"Project Manager",DE_92,Active,"05-07-2023 03:10:40",,,,
"QA Engineer",DE_93,Active,"05-07-2023 03:10:41",,,,
"QA Lead",DE_94,Active,"05-07-2023 03:10:41",,,,
"Senior Automation Engineer",DE_95,Active,"05-07-2023 03:10:42",,,,
"Senior Business Development Lead",DE_96,Active,"05-07-2023 03:10:43",,,,
"Senior Consultant Quality Assurance",DE_97,Active,"05-07-2023 03:10:43",,,,
"Senior Content Writer",DE_98,Active,"05-07-2023 03:10:44",,,,
"Senior Developer UI & SEO",DE_99,Active,"05-07-2023 03:10:44",,,,
"Senior DevOps Support Engineer",DE_100,Active,"05-07-2023 03:10:45",,,,
"Senior Executive Accounts",DE_101,Active,"05-07-2023 03:10:45",,,,
"Senior Executive Business Development",DE_102,Active,"05-07-2023 03:10:46",,,,
"Senior Executive Inside Sales",DE_103,Active,"05-07-2023 03:10:46",,,,
"Senior Executive Product",DE_104,Active,"05-07-2023 03:10:47",,,,
"Senior Game Engineer",DE_105,Active,"05-07-2023 03:10:47",,,,
"Senior HR Executive",DE_106,Active,"05-07-2023 03:10:48",,,,
"Senior Inside Sales Executive",DE_107,Active,"05-07-2023 03:10:49",,,,
"Senior Inside Sales Specialist",DE_108,Active,"05-07-2023 03:10:49",,,,
"Senior iOS Developer",DE_109,Active,"05-07-2023 03:10:50",,,,
"Senior Manager Architect",DE_110,Active,"05-07-2023 03:10:50",,,,
"Senior Manager Projects",DE_111,Active,"05-07-2023 03:10:51",,,,
"Senior Manager Service Delivery",DE_112,Active,"05-07-2023 03:10:51",,,,
"Senior Manager Technical Architect",DE_113,Active,"05-07-2023 03:10:52",,,,
"Senior QA Engineer",DE_114,Active,"05-07-2023 03:10:52",,,,
"Senior Sales Director",DE_115,Active,"05-07-2023 03:10:53",,,,
"Senior Sales Manager",DE_116,Active,"05-07-2023 03:10:53",,,,
"Senior SEO Specialist",DE_117,Active,"05-07-2023 03:10:54",,,,
"Senior Software Engineer",DE_118,Active,"05-07-2023 03:10:55",,,,
