Company,"Business Unit","Department Name","Department Code","Parent Department Code","Business Unit Name","Business Unit Code","Top Department","Project Allocated","Project Allocated Name","Project Allocated Code",HOD,"Performance HOD","Functional Head","Head HR","Group HR Head","Head Level Access","Level 1","Level 2","Level 3","Level 4","Level 5","Level 6","Level 7","Level 8","Level 9",Status,Capability
"Tejora Private Limited",,"Project Manager",TPL.PM.PMO,TPL.PM,,,,,,,"[REDACTED],[REDACTED]",,,,,,"CEO (TPL.C)","Project Management (TPL.PM)","Project Manager (TPL.PM.PMO)",,,,,,,Active,
"PrimeSoft IP Solutions Private Limited.",,"Project Manager",PSI.C.PJM.PM,PSI.C.PJM,,,,,,,"[REDACTED],[REDACTED]",,,,,,"CEO (PSI.C)","Project Management (PSI.C.PJM)","Project Manager (PSI.C.PJM.PM)",,,,,,,Active,
"PrimeSoft IP Solutions Private Limited.",,"QA and DevOps",PSI.PM.QADO,PSI.PM,,,,,,,,,,,,,"Product Management (PSI.PM)","QA and DevOps (PSI.PM.QADO)",,,,,,,,Archived,
PrimeSoft,,Quality,PSI.Q,,,,,,,,,,,,,,"Quality (PSI.Q)",,,,,,,,,Archived,
"PrimeSoft IP Solutions Private Limited.",,Quality,PSI.DEV.Q,PSI.DEV,,,,,,,"[REDACTED]",,,"[REDACTED]",,,"CEO (PSI.C)","Vice President Engineering (PSI.C.VPE)","VP Development (PSI.VP.DEV)","Development (PSI.DEV)","Quality (PSI.DEV.Q)",,,,,Active,
"Tejora Private Limited",,"Quality Assurance",TPL.QA,TPL.C,,,,,,,,,,,,,"CEO (TPL.C)","Quality Assurance (TPL.QA)",,,,,,,,Active,
"PrimeSoft IP Solutions Private Limited.",,"Quality Assurance",PSI.QA,PSI.VP.QA&DO,,,,,,,"[REDACTED]",,,"[REDACTED]",,,"CEO (PSI.C)","Vice President Engineering (PSI.C.VPE)","VP QA & Devops (PSI.VP.QA&DO)","Quality Assurance (PSI.QA)",,,,,,Active,
"PrimeSoft IP Solutions Private Limited.",,SEO,PSI.D.SEO,PSI.D,,,,,,,"[REDACTED]",,,,,,"CEO (PSI.C)","Digital (PSI.D)","SEO (PSI.D.SEO)",,,,,,,Active,
"Igenero Web Solutions Private Limited",,SEO,IWSPL.D.SEO,IWSPL.D,,,,,,,,,,,,,"Digital (IWSPL.D)","SEO (IWSPL.D.SEO)",,,,,,,,Active,
"PrimeSoft IP Solutions Private Limited.",,Sales,PSI.BD.S,PSI.BD,,,,,,,"[REDACTED]",,,,,,"CEO (PSI.C)","VP (PSI.VP.SALES)","Business Development (PSI.BD)","Sales (PSI.BD.S)",,,,,,Active,
"PrimeSoft IP Solutions Private Limited.",,Sales,PSI.O.S,PSI.O,,,,,,,"[REDACTED]",,,,,,"CEO (PSI.C)","Operations (PSI.O)","Sales (PSI.O.S)",,,,,,,Active,
"Tejora Private Limited",,Sales,TPL.BD.S,TPL.O,,,,,,,"[REDACTED]",,,,,,"CEO (TPL.C)","Operations (TPL.O)","Sales (TPL.BD.S)",,,,,,,Active,
PrimeSoft,,Sales/Marketing,DEP_4,,,,,,,,,,,,,,"Sales/Marketing (DEP_4)",,,,,,,,,Archived,
PrimeSoft,,"Senior Consultant Quality Assurance",PSI.DAS.Q,,,,,,,,,,,,,,"Senior Consultant Quality Assurance (PSI.DAS.Q)",,,,,,,,,Archived,
"PrimeSoft IP Solutions Private Limited.",,"Senior Consultant Quality Assurance",PSI.DAS.QA,,,,,,,,,,,,,,"Senior Consultant Quality Assurance (PSI.DAS.QA)",,,,,,,,,Archived,
"PrimeSoft IP Solutions Private Limited.",,"Senior Director Engineering",PSI.C.SDE,PSI.C,,,,,,,"[REDACTED]",,,"[REDACTED]",,,"CEO (PSI.C)","Senior Director Engineering (PSI.C.SDE)",,,,,,,,Active,
"PrimeSoft IP Solutions Private Limited.",,"Senior Director HR",PSI.C.SDHR,PSI.C,,,,,,,"[REDACTED],[REDACTED]",,,,,,"CEO (PSI.C)","Senior Director HR (PSI.C.SDHR)",,,,,,,,Active,
PrimeSoft,,"Senior Game Engineer",PSI.DEV.MOB,,,,,,,,,,,,,,"Senior Game Engineer (PSI.DEV.MOB)",,,,,,,,,Archived,
PrimeSoft,,"Software Engineer",PSI.DEV.MIOS,,,,,,,,,,,,,,"Software Engineer (PSI.DEV.MIOS)",,,,,,,,,Archived,
"Tejora Private Limited",,Support,TPL.DS.SUPP,TPL.DS,,,,,,,"[REDACTED]",,,,,,"CEO (TPL.C)","Database Support (TPL.DS)","Support (TPL.DS.SUPP)",,,,,,,Active,
"Tejora Private Limited",,"Support Office",TPL.A.OB,TPL.C,,,,,,,"[REDACTED]",,,,,,"CEO (TPL.C)","Support Office (TPL.A.OB)",,,,,,,,Active,
"PrimeSoft IP Solutions Private Limited.",,TPL,DEP_5,,,,,,,,,,,,,,"TPL (DEP_5)",,,,,,,,,Archived,
"PrimeSoft IP Solutions Private Limited.",,"Talent Acquisition",PSI.HR.TA,PSI.HR,,,,,,,"[REDACTED],[REDACTED]",,,,,,"CEO (PSI.C)","Senior Director HR (PSI.C.SDHR)","Human Resources (PSI.HR)","Talent Acquisition (PSI.HR.TA)",,,,,,Active,
"Tejora Private Limited",,"Talent Acquisition",TPL.HR.TA,TPL.HR,,,,,,,"[REDACTED]",,,,,,"CEO (TPL.C)","Human Resources (TPL.HR)","Talent Acquisition (TPL.HR.TA)",,,,,,,Active,
"Tejora Private Limited",,"Talent Acquisition and PMO",TPL.HR.TAAP,TPL.HR,,,,,,,"[REDACTED]",,,,,,"CEO (TPL.C)","Human Resources (TPL.HR)","Talent Acquisition and PMO (TPL.HR.TAAP)",,,,,,,Active,
PrimeSoft,,"Team Lead",PSI.DEV.MA,,,,,,,,,,,,,,"Team Lead (PSI.DEV.MA)",,,,,,,,,Archived,
"PrimeSoft IP Solutions Private Limited.",,"Training and Development",PSI.TAD,PSI.HR,,,,,,,"[REDACTED]",,,,,,"CEO (PSI.C)","Senior Director HR (PSI.C.SDHR)","Human Resources (PSI.HR)","Training and Development (PSI.TAD)",,,,,,Active,
"PrimeSoft IP Solutions Private Limited.",,UI/UX,PSI.DG.UI/UX,PSI.DG,,,,,,,"[REDACTED]",,,"[REDACTED]",,,"CEO (PSI.C)","Vice President Engineering (PSI.C.VPE)","VP Development (PSI.VP.DEV)","Design (PSI.DG)","UI/UX (PSI.DG.UI/UX)",,,,,Active,
"Igenero Web Solutions Private Limited",,UI/UX,IWSPL.DG.UI/UX,IWSPL.DG,,,,,,,,,,,,,"Design (IWSPL.DG)","UI/UX (IWSPL.DG.UI/UX)",,,,,,,,Active,
"PrimeSoft IP Solutions Private Limited.",,UX,PSI.DG.UX,PSI.DG,,,,,,,"[REDACTED]",,,"[REDACTED]",,,"CEO (PSI.C)","Vice President Engineering (PSI.C.VPE)","VP Development (PSI.VP.DEV)","Design (PSI.DG)","UX (PSI.DG.UX)",,,,,Active,
"Igenero Web Solutions Private Limited",,UX,IWSPL.DG.UX,IWSPL.DG,,,,,,,,,,,,,"Design (IWSPL.DG)","UX (IWSPL.DG.UX)",,,,,,,,Active,
"PrimeSoft IP Solutions Private Limited.",,UX,PSI.D.UX,PSI.D,,,,,,,"[REDACTED]",,,,,,"CEO (PSI.C)","Digital (PSI.D)","UX (PSI.D.UX)",,,,,,,Active,
PrimeSoft,,"VOIP Support",PSI.AS.VOIPS,PSI.AS,,,,,,,,,,,,,"Application Support (PSI.AS)","VOIP Support (PSI.AS.VOIPS)",,,,,,,,Archived,
"PrimeSoft IP Solutions Private Limited.",,"VOIP Support",PSI.DAS.AAIS.VOIPS,PSI.DAS.AAIS,,,,,,,,,,,,,"CEO (PSI.C)","Vice President Engineering (PSI.C.VPE)","VP QA & Devops (PSI.VP.QA&DO)","DevOps and Support (PSI.DAS)","Application and Infra Support (PSI.DAS.AAIS)","VOIP Support (PSI.DAS.AAIS.VOIPS)",,,,Archived,
"PrimeSoft IP Solutions Private Limited.",,"VOIP Support",PSI.QA.AS.VOIPS,PSI.QA.AS,,,,,,,"[REDACTED]",,,"[REDACTED]",,,"CEO (PSI.C)","Vice President Engineering (PSI.C.VPE)","VP QA & Devops (PSI.VP.QA&DO)","Quality Assurance (PSI.QA)","Application Support (PSI.QA.AS)","VOIP Support (PSI.QA.AS.VOIPS)",,,,Active,
"PrimeSoft IP Solutions Private Limited.",,VP,PSI.VP.SALES,PSI.C,,,,,,,,,,,,,"CEO (PSI.C)","VP (PSI.VP.SALES)",,,,,,,,Active,
"PrimeSoft IP Solutions Private Limited.",,"VP Development",PSI.VP.DEV,PSI.C.VPE,,,,,,,"[REDACTED]",,,"[REDACTED]",,,"CEO (PSI.C)","Vice President Engineering (PSI.C.VPE)","VP Development (PSI.VP.DEV)",,,,,,,Active,
"PrimeSoft IP Solutions Private Limited.",,"VP QA & Devops",PSI.VP.QA&DO,PSI.C.VPE,,,,,,,"[REDACTED]",,,"[REDACTED]",,,"CEO (PSI.C)","Vice President Engineering (PSI.C.VPE)","VP QA & Devops (PSI.VP.QA&DO)",,,,,,,Active,
"PrimeSoft IP Solutions Private Limited.",,"Vice President Engineering",PSI.C.VPE,PSI.C,,,,,,,"[REDACTED]",,,"[REDACTED]",,,"CEO (PSI.C)","Vice President Engineering (PSI.C.VPE)",,,,,,,,Active,
