"Holiday Name","Holiday Code","Holiday Date","Day Name","Repeat Next Year (yes/no)","Holiday Type (Mandatory(0)/Optional(1)/National(2))","Assigned location","Location (Work Area Code)",Assignments,"Additional Configurations","Recurring Holiday Type(Recurring Static date(0)/Recurring Day of Month(1))","Static Month","Static Date",Occurrence,Month,Day,"Holiday Starts From"
"Christmas ",HDAY_108,2025-12-25,Thursday,NO,0,"Columbia, Columbia, United States  (PSI.USML)
",PSI.USML,"Axis Securities,Freecharge,ICICI Lombard,Kotak Securities,NSDL,Yes Bank,Labcorp,Mumbai Holiday,Bengaluru Holiday,Hyderabad- Holiday,Aditya Birla,Invoicemart",No,,,,,,,
"Christmas ",HDAY_119,2025-12-25,Thursday,NO,1,,,Labcorp,No,,,,,,,
"New Year",HDAY_120,2026-01-01,Thursday,NO,0,,,"Freecharge,Labcorp,Mumbai Holiday,Bengaluru Holiday,Hyderabad- Holiday,SK Finance ",No,,,,,,,
"Makar Sankranthi",HDAY_121,2026-01-14,Wednesday,NO,0,,,"Freecharge,Bengaluru Holiday,Hyderabad- Holiday",No,,,,,,,
"BMC Elections",HDAY_149,2026-01-15,Thursday,NO,0,"Malad Mindspace, Mumbai, India  (PSI.ETMI)
",PSI.ETMI,"Axis Securities,ICICI Lombard,Kotak Securities,NSDL,Yes Bank,Labcorp,SK Finance ",No,,,,,,,
"Republic Day",HDAY_122,2026-01-26,Monday,NO,0,,,"Axis Securities,Freecharge,Kotak Securities,NSDL,Yes Bank,Labcorp,Mumbai Holiday,Bengaluru Holiday,Hyderabad All,Aditya Birla,Invoicemart,SK Finance ",No,,,,,,,
Mahashivaratri,HDAY_140,2026-02-15,Sunday,NO,0,,,NSDL,No,,,,,,,
"Shivaji Jayanti",HDAY_135,2026-02-19,Thursday,NO,0,,,Invoicemart,No,,,,,,,
Holi,HDAY_136,2026-03-03,Tuesday,NO,0,,,"Axis Securities,ICICI Lombard,Kotak Securities,NSDL,Yes Bank,Mumbai Holiday,Aditya Birla,Invoicemart,SK Finance ",No,,,,,,,
Holi,HDAY_124,2026-03-04,Wednesday,NO,0,,,Freecharge,No,,,,,,,
Holi,HDAY_152,2026-03-05,Thursday,NO,0,,,"Strategy Corps",No,,,,,,,
"Ugadi/Gudi Padwa",HDAY_123,2026-03-19,Thursday,NO,0,,,"Yes Bank,Bengaluru Holiday,Hyderabad- Holiday,Aditya Birla,Invoicemart",No,,,,,,,
"Ramzan Id",HDAY_141,2026-03-21,Saturday,NO,0,,,"NSDL,Invoicemart",No,,,,,,,
RamNavani,HDAY_142,2026-03-26,Thursday,NO,0,,,"Axis Securities,Kotak Securities,NSDL",No,,,,,,,
"Shri Mahavir Jayanthi",HDAY_143,2026-03-31,Tuesday,NO,0,,,"Axis Securities,Kotak Securities,NSDL",No,,,,,,,
"Good Friday",HDAY_130,2026-04-03,Friday,NO,0,,,"Freecharge,NSDL,Yes Bank,Aditya Birla,Invoicemart",No,,,,,,,
"Good Friday",HDAY_153,2026-04-03,Friday,NO,0,,,"Strategy Corps",No,,,,,,,
"Dr. Ambedkar Jayanthi",HDAY_137,2026-04-14,Tuesday,NO,0,,,"Yes Bank,Invoicemart",No,,,,,,,
AmbedkarJayanti,HDAY_154,2026-04-14,Tuesday,NO,0,,,"Strategy Corps",No,,,,,,,
"Maharashtra Day",HDAY_131,2026-05-01,Friday,NO,0,,,"Yes Bank,Mumbai Holiday,Aditya Birla,Invoicemart,SK Finance ",No,,,,,,,
"Labour Day",HDAY_155,2026-05-01,Friday,NO,0,,,"Strategy Corps",No,,,,,,,
"Bakri Eid",HDAY_125,2026-05-27,Wednesday,NO,0,,,"Mumbai Holiday,Bengaluru Holiday,Hyderabad- Holiday,Aditya Birla",No,,,,,,,
"ID- UZ-Zuha/Bakri Id",HDAY_138,2026-05-28,Thursday,NO,0,,,"NSDL,Invoicemart",No,,,,,,,
Moharum,HDAY_144,2026-06-26,Friday,NO,0,,,NSDL,No,,,,,,,
